"k","alpha","ntop","lambda","nu","z_cutpoint","mean_cindex_dichot","se_cindex_dichot","mean_abs_logrank_z","se_abs_logrank_z"
2,0.25,NA,0.349,0.056,-1.8,0.51148582389281,0.00267787789619754,0.613319219300178,0.298017148586933
2,0.25,NA,0.349,0.056,-1.6,0.51761637891677,0.00070867048829581,0.651085157349077,0.226315788801571
2,0.25,NA,0.349,0.056,-1.4,0.524588905369824,0.00919864656325803,0.811405736190106,0.218506449829074
2,0.25,NA,0.349,0.056,-1.2,0.520430326024823,0.00839292038143189,0.498282230013117,0.20085035857813
2,0.25,NA,0.349,0.056,-1,0.524077846141658,0.0198614309747117,0.810275286704746,0.276328220588385
2,0.25,NA,0.349,0.056,-0.8,0.537384990902004,0.0182590006712719,0.672281003660569,0.370189230986833
2,0.25,NA,0.349,0.056,-0.6,0.554289386567277,0.0249699497506009,0.930967161508567,0.405383446689466
2,0.25,NA,0.349,0.056,-0.4,0.5669964900288,0.0264850931406398,1.01403934521449,0.482782355801553
2,0.25,NA,0.349,0.056,-0.2,0.581185860121673,0.0287699381708156,1.1645568347802,0.499476535991583
2,0.25,NA,0.349,0.056,0,0.575922288736194,0.0189515935405533,1.06966431265315,0.339778550470094
2,0.25,NA,0.349,0.056,0.2,0.566733801461734,0.0206678665439344,1.03550841051016,0.371734140233131
2,0.25,NA,0.349,0.056,0.4,0.584110835445191,0.0263661356707336,1.42324146761097,0.40835497311138
2,0.25,NA,0.349,0.056,0.6,0.574674403034454,0.0194580012756498,1.33476895665599,0.437287023230669
2,0.25,NA,0.349,0.056,0.8,0.59058247030979,0.0112987918049436,2.02473503881463,0.37331168322548
2,0.25,NA,0.349,0.056,1,0.585923721709925,0.0127586336647765,2.20334909182318,0.510158149428007
2,0.25,NA,0.349,0.056,1.2,0.571924508831694,0.0159331093771586,2.02163962083786,0.555823898554882
2,0.25,NA,0.349,0.056,1.4,0.54979284188707,0.0192535918575342,1.97881888074156,0.615720222864736
2,0.25,NA,0.349,0.056,1.6,0.54109354635862,0.0142591020327149,2.48168978623278,1.00416615899177
2,0.25,NA,0.349,0.056,1.8,0.520557237573337,0.00712369466940472,1.67623283044439,0.57469451371039
2,0.25,NA,0.349,0.056,2,0.512411877595237,0.00627849276290459,1.57988109736407,0.670342908501952
2,0.3,270,0.349,0.056,-2,0.517917859905982,0.00673484220741494,0.969497946924262,0.235955644460919
2,0.3,270,0.349,0.056,-1.8,0.517917859905982,0.00673484220741494,0.969497946924262,0.235955644460919
2,0.3,270,0.349,0.056,-1.6,0.508525100131799,0.0105310486635903,1.1983452889896,0.28321129752687
2,0.3,270,0.349,0.056,-1.4,0.509698102649762,0.00990959995860787,1.01211468067092,0.378828608209586
2,0.3,270,0.349,0.056,-1.2,0.5206375201897,0.0057750366351442,0.73898442772857,0.322899312466496
2,0.3,270,0.349,0.056,-1,0.540726863934121,0.00671767532286446,0.975840583934089,0.372922030271198
2,0.3,270,0.349,0.056,-0.8,0.557884050119857,0.00785361576129625,1.06800728285704,0.264063070954759
2,0.3,270,0.349,0.056,-0.6,0.574677044045191,0.00632192363492994,1.26521667700494,0.103757676508659
2,0.3,270,0.349,0.056,-0.4,0.588128380169782,0.0105630959487493,1.43335838886591,0.236931691149142
