"method","factor","signature_raw","signature","r_RB","p_perm","q_BH","in_main_figure"
"DeSurv","D3 Basal-like","Puleo_Pure Classical","Puleo: Pure Classical",0.204607317416876,0.00289985500724964,0.00841893389201508,FALSE
"DeSurv","D3 Basal-like","Puleo_Immune Classical","Puleo: Immune Classical",-0.353613274143075,0.107144642767862,0.167219962701287,FALSE
"DeSurv","D3 Basal-like","Puleo_Desmoplastic","Puleo: Desmoplastic",-0.349711286089239,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D3 Basal-like","Puleo_Stroma Activated","Puleo: Stroma Activated",0.103125,0.209589520523974,0.284367691163181,FALSE
"DeSurv","D3 Basal-like","Puleo_Pure Basal-like","Puleo Basal-like",0.453159820617933,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D3 Basal-like","Puleo_tumor_Basal-like","Puleo: Basal-like",0.125169308489219,0.0219989000549973,0.0456900231911481,FALSE
"DeSurv","D3 Basal-like","Puleo_tumor_Classical","Puleo: Immune Classical",0.111554326639772,0.00294985250737463,0.00847298060628883,FALSE
"DeSurv","D3 Basal-like","Elyada_iCAF","Elyada: iCAF",-0.252195372750643,0.0300484975751212,0.0592196667538886,FALSE
"DeSurv","D3 Basal-like","Elyada_myCAF","Elyada: myCAF",-0.00937766410912189,0.951252437378131,0.965556985308629,FALSE
"DeSurv","D3 Basal-like","SCISSORS_apCAF","SCISSORS: apCAF",-0.554679552390641,0.0517974101294935,0.0957897310613921,FALSE
"DeSurv","D3 Basal-like","SCISSORS_restCAF","SCISSORS: restCAF",-0.493750188247342,0.000249987500624969,0.000823129575228556,TRUE
"DeSurv","D3 Basal-like","SCISSORS_proCAF","SCISSORS: proCAF",-0.545355680655067,4.99975001249937e-05,0.000182423311266869,TRUE
"DeSurv","D3 Basal-like","SCISSORS_Perivascular","SCISSORS: Perivascular",-0.0418320610687023,0.870906454677266,0.918534151417429,FALSE
"DeSurv","D3 Basal-like","SCISSORS_panCAF","SCISSORS: panCAF",-0.346462572335262,0.00409979501024949,0.011295353599667,FALSE
"DeSurv","D3 Basal-like","SCISSORS_Basal-like","SCISSORS: Basal-like",0.309395340870161,0.00874956252187391,0.0212827196478014,FALSE
"DeSurv","D3 Basal-like","SCISSORS_Classical","SCISSORS: Classical",0.308008213552361,0.0120993950302485,0.0276850564251448,FALSE
"DeSurv","D3 Basal-like","deCAF_proCAF","deCAF: proCAF",-0.561800610376399,0.0486475676216189,0.0912141892905355,TRUE
"DeSurv","D3 Basal-like","deCAF_restCAF","deCAF: restCAF",-0.367354740061162,0.0734963251837408,0.122493875306235,TRUE
"NMF","N1 Tumor","PurIST_BasalLike","PurIST: Basal-like",0.425078233025253,0.0490475476226189,0.0913299162628076,TRUE
"NMF","N1 Tumor","PurIST_Classical","PurIST: Classical",0.465214067278287,0.0199990000499975,0.0421853907304635,TRUE
"NMF","N1 Tumor","DECODER_BasalTumor","DECODER: Basal-like tumor",0.499923381884334,4.99975001249937e-05,0.000182423311266869,FALSE
"NMF","N1 Tumor","DECODER_ClassicalTumor","DECODER: Classical tumor",0.525579034541715,4.99975001249937e-05,0.000182423311266869,FALSE
"NMF","N1 Tumor","DECODER_ActivatedStroma","DECODER: Activated Stroma",-0.255768389227036,4.99975001249937e-05,0.000182423311266869,FALSE
"NMF","N1 Tumor","DECODER_NormalStroma","DECODER: Normal Stroma",-0.162080136402387,0.275236238188091,0.366077755225539,FALSE
"NMF","N1 Tumor","DECODER_Immune","DECODER: Immune",-0.476369982547993,4.99975001249937e-05,0.000182423311266869,TRUE
"NMF","N1 Tumor","DECODER_Exocrine","DECODER: Exocrine",-0.846077598414047,4.99975001249937e-05,0.000182423311266869,TRUE
"NMF","N1 Tumor","DECODER_Endocrine","DECODER: Endocrine",-0.203634208967016,0.00634968251587421,0.0165848850414622,TRUE
"NMF","N1 Tumor","Moffitt_Basal-like","Moffitt: Basal-like",0.379692307692308,0.00269986500674966,0.00801058848156493,TRUE
"NMF","N1 Tumor","Moffitt_Classical","Moffitt: Classical",0.614161108260646,4.99975001249937e-05,0.000182423311266869,TRUE
"NMF","N1 Tumor","Moffitt_Activated","Moffitt: Activated",-0.218910585817061,0.0651967401629918,0.115053070875868,TRUE
"NMF","N1 Tumor","Moffitt_Normal","Moffitt: Normal",-0.37881108172073,0.0287485625718714,0.0574971251437428,TRUE
